Album,Artist(s),RollingStoneRating,ArtistName,,,,,,,,,,,,sql
Catch a Fire,Bob Marley and the Wailers,140,"(N'Bob Marley and the Wailers'),",,,,,,,,,,,,"(N'Catch a Fire', N'Bob Marley and the Wailers'),"
Doolittle,Pixies,141,"(N'Pixies'),",,,,,,,,,,,,"(N'Doolittle', N'Pixies'),"
Born in the U.S.A.,Bruce Springsteen,142,"(N'Bruce Springsteen'),",,,,,,,,,,,,"(N'Born in the U.S.A.', N'Bruce Springsteen'),"
The Velvet Underground,The Velvet Underground,143,"(N'The Velvet Underground'),",,,,,,,,,,,,"(N'The Velvet Underground', N'The Velvet Underground'),"
Physical Graffiti,Led Zeppelin,144,"(N'Led Zeppelin'),",,,,,,,,,,,,"(N'Physical Graffiti', N'Led Zeppelin'),"
The Marshall Mathers LP,Eminem,145,"(N'Eminem'),",,,,,,,,,,,,"(N'The Marshall Mathers LP', N'Eminem'),"
Parallel Lines,Blondie,146,"(N'Blondie'),",,,,,,,,,,,,"(N'Parallel Lines', N'Blondie'),"
Grace,Jeff Buckley,147,"(N'Jeff Buckley'),",,,,,,,,,,,,"(N'Grace', N'Jeff Buckley'),"
Channel Orange,Frank Ocean,148,"(N'Frank Ocean'),",,,,,,,,,,,,"(N'Channel Orange', N'Frank Ocean'),"
John Prine,John Prine,149,"(N'John Prine'),",,,,,,,,,,,,"(N'John Prine', N'John Prine'),"
Nebraska,Bruce Springsteen,150,"(N'Bruce Springsteen'),",,,,,,,,,,,,"(N'Nebraska', N'Bruce Springsteen'),"
Faith,George Michael,151,"(N'George Michael'),",,,,,,,,,,,,"(N'Faith', N'George Michael'),"
Pretenders,The Pretenders,152,"(N'The Pretenders'),",,,,,,,,,,,,"(N'Pretenders', N'The Pretenders'),"
Rid of Me,PJ Harvey,153,"(N'PJ Harvey'),",,,,,,,,,,,,"(N'Rid of Me', N'PJ Harvey'),"
Amazing Grace,Aretha Franklin,154,"(N'Aretha Franklin'),",,,,,,,,,,,,"(N'Amazing Grace', N'Aretha Franklin'),"
The Black Album,Jay-Z,155,"(N'Jay-Z'),",,,,,,,,,,,,"(N'The Black Album', N'Jay-Z'),"
Let It Be,The Replacements,156,"(N'The Replacements'),",,,,,,,,,,,,"(N'Let It Be', N'The Replacements'),"
(What's the Story) Morning Glory?,Oasis,157,"(N'Oasis'),",,,,,,,,,,,,"(N'(What's the Story) Morning Glory?', N'Oasis'),"
Mama's Gun,Erykah Badu,158,"(N'Erykah Badu'),",,,,,,,,,,,,"(N'Mama's Gun', N'Erykah Badu'),"
Synchronicity,The Police,159,"(N'The Police'),",,,,,,,,,,,,"(N'Synchronicity', N'The Police'),"
Ten,Pearl Jam,160,"(N'Pearl Jam'),",,,,,,,,,,,,"(N'Ten', N'Pearl Jam'),"
"Crosby, Stills & Nash","Crosby, Stills & Nash",161,"(N'Crosby, Stills & Nash'),",,,,,,,,,,,,"(N'Crosby, Stills & Nash', N'Crosby, Stills & Nash'),"
Different Class,Pulp,162,"(N'Pulp'),",,,,,,,,,,,,"(N'Different Class', N'Pulp'),"
Saturday Night Fever,Various artists,163,"(N'Various artists'),",,,,,,,,,,,,"(N'Saturday Night Fever', N'Various artists'),"
At Folsom Prison,Johnny Cash,164,"(N'Johnny Cash'),",,,,,,,,,,,,"(N'At Folsom Prison', N'Johnny Cash'),"
Murmur,R.E.M.,165,"(N'R.E.M.'),",,,,,,,,,,,,"(N'Murmur', N'R.E.M.'),"
20 Golden Greats,Buddy Holly,166,"(N'Buddy Holly'),",,,,,,,,,,,,"(N'20 Golden Greats', N'Buddy Holly'),"
Violator,Depeche Mode,167,"(N'Depeche Mode'),",,,,,,,,,,,,"(N'Violator', N'Depeche Mode'),"
Can't Buy a Thrill,Steely Dan,168,"(N'Steely Dan'),",,,,,,,,,,,,"(N'Can't Buy a Thrill', N'Steely Dan'),"
